- Nombre Jugador: Jorge | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Mickey | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Mickey | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Mickey | Id: 2 | Bando escogido: Valar
- Nombre Jugador: Jorge | Id: 3 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: lol | Id: 3 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 4 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 5 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 6 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 7 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 3 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 4 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: se | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 3 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: sesa | Id: 1 | Bando escogido: Morgoth
- Nombre Jugador: tu | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: tu | Id: 3 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: lol | Id: 3 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: lol | Id: 3 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 4 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 5 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: lol | Id: 3 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 4 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 2 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 3 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 4 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 5 | Bando escogido: Morgoth
- Nombre Jugador: lol | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 2 | Bando escogido: Valar
- Nombre Jugador: lol | Id: 3 | Bando escogido: Morgoth
- Nombre Jugador: Pepito | Id: 4 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 1 | Bando escogido: Valar
- Nombre Jugador: Pepito | Id: 2 | Bando escogido: Morgoth
